Gene	sgRNA	mock_day12|beta	mock_day12|z	mock_day12|p-value	mock_day12|fdr	mock_day12|wald-p-value	mock_day12|wald-fdr	myci_Day12|beta	myci_Day12|z	myci_Day12|p-value	myci_Day12|fdr	myci_Day12|wald-p-value	myci_Day12|wald-fdr	z_Difference	beta_difference
Pex26	5	0.11033	0.65243	0.41066	0.88155	0.51412	0.8506	0.085432	0.5053	0.53226	0.94423	0.61335	0.87207	-0.14713	-0.024898
Rassf1	5	-0.10836	-0.77907	0.77939	0.98834	0.43594	0.82364	-0.13324	-0.95806	0.69873	0.97931	0.33803	0.76101	-0.17899	-0.02488
Eras	5	0.14052	0.91202	0.31515	0.82457	0.36176	0.79878	0.11565	0.75071	0.42797	0.91068	0.45283	0.80355	-0.16131	-0.02487
Chrna1	5	0.22985	1.0762	0.11144	0.54978	0.28183	0.77709	0.20501	0.95999	0.17967	0.6873	0.33706	0.76101	-0.11621	-0.02484
Olfr649	5	-0.086028	-0.51839	0.84628	0.99117	0.60418	0.88113	-0.11086	-0.6683	0.76043	0.98712	0.50394	0.82639	-0.14991	-0.024832
Serinc2	5	-0.17126	-0.9322	0.61724	0.95872	0.35123	0.79386	-0.19609	-1.0682	0.55949	0.95187	0.28545	0.74775	-0.136	-0.02483
Myoz1	5	-0.022822	-0.24707	0.93306	0.99926	0.80485	0.94417	-0.047639	-0.5158	0.95808	0.99816	0.606	0.86965	-0.26873	-0.024817
Olfr1204	1	0.30286	0.87009	0.35866	0.85254	0.38425	0.80346	0.27805	0.79883	0.41497	0.90357	0.42439	0.79331	-0.07126	-0.02481
Cygb	5	0.17959	0.99356	0.20695	0.70841	0.32044	0.78516	0.1548	0.85662	0.30538	0.82827	0.39165	0.78371	-0.13694	-0.02479
Shank2	5	0.064037	0.54126	0.58323	0.95074	0.58833	0.87561	0.039269	0.33196	0.70962	0.97994	0.73992	0.91515	-0.2093	-0.024768
Dnah7a	5	0.22208	0.67572	0.12325	0.56983	0.49922	0.84753	0.19732	0.60102	0.19451	0.70501	0.54783	0.8461	-0.0747	-0.02476
Rnf13	5	-0.068589	-0.66607	0.90393	0.99712	0.50537	0.84966	-0.093345	-0.90652	0.81027	0.99168	0.36466	0.7709	-0.24045	-0.024756
Olfr531	5	0.22836	1.0599	0.1138	0.55528	0.28921	0.77925	0.20363	0.94515	0.18249	0.69226	0.34458	0.76352	-0.11475	-0.02473
Cdhr1	5	0.25852	1.3566	0.074497	0.456	0.17491	0.7261	0.23381	1.2272	0.13029	0.6029	0.21975	0.72877	-0.1294	-0.02471
Xrcc2	5	-0.40321	-1.6459	0.27271	0.78891	0.099785	0.61191	-0.42791	-1.7472	0.24322	0.76515	0.080606	0.55069	-0.1013	-0.0247
Rcan1	5	0.13134	1.0281	0.34309	0.84481	0.30391	0.78336	0.10666	0.835	0.45941	0.92461	0.40372	0.7867	-0.1931	-0.02468
Rhbg	5	0.10318	0.39747	0.43588	0.89269	0.69102	0.90989	0.078506	0.3025	0.55862	0.95187	0.76227	0.92441	-0.09497	-0.024674
Ssc5d	5	0.069049	0.59759	0.56304	0.94259	0.55012	0.86304	0.044377	0.38408	0.69215	0.97931	0.70092	0.90238	-0.21351	-0.024672
Kif15	5	-0.44565	-2.3916	0.23258	0.74145	0.016773	0.1721	-0.47029	-2.5241	0.20659	0.71816	0.011599	0.1231	-0.1325	-0.02464
Them4	5	-0.070021	-0.65181	0.89889	0.99636	0.51452	0.8506	-0.094629	-0.88109	0.80672	0.99168	0.37827	0.77673	-0.22928	-0.024608
Gm5773	1	-0.026299	-0.097374	0.87408	0.99329	0.92243	0.97932	-0.050902	-0.18847	0.82357	0.99168	0.85051	0.9554	-0.091096	-0.024603
Tns3	5	0.15887	0.97511	0.26223	0.77912	0.3295	0.78663	0.13429	0.82423	0.36776	0.87389	0.40981	0.78725	-0.15088	-0.02458
Rpgr	5	0.1559	1.2981	0.27081	0.78766	0.19427	0.73155	0.13135	1.0937	0.37798	0.88316	0.27409	0.74592	-0.2044	-0.02455
Ttr	5	0.41489	1.3734	0.0059597	0.0994	0.16962	0.72078	0.39039	1.2924	0.01603	0.1961	0.19623	0.7266	-0.081	-0.0245
Lcn4	5	0.014769	0.10034	0.78602	0.98889	0.92007	0.97876	-0.0097235	-0.066071	0.90084	0.99417	0.94732	0.98537	-0.166411	-0.0244925
Slc7a7	5	0.23903	0.70873	0.097719	0.51741	0.47849	0.84048	0.21457	0.63647	0.16179	0.65877	0.52447	0.83599	-0.07226	-0.02446
P2rx3	5	0.046273	0.22896	0.65572	0.96636	0.8189	0.94877	0.021828	0.10801	0.77985	0.98769	0.91398	0.9759	-0.12095	-0.024445
Adam6b	5	0.44919	1.1833	0.0028257	0.059076	0.23669	0.75893	0.42477	1.119	0.0086313	0.12537	0.26312	0.7453	-0.0643	-0.02442
Brd9	5	0.16841	0.83437	0.23556	0.74565	0.40407	0.81168	0.14401	0.71353	0.33868	0.85722	0.47552	0.81553	-0.12084	-0.0244
Drg2	5	-0.3094	-1.7539	0.38081	0.86266	0.079453	0.5439	-0.33379	-1.8925	0.34582	0.86094	0.058429	0.45291	-0.1386	-0.02439
Ube3a	4	0.092315	0.85558	0.53637	0.93397	0.39223	0.80716	0.067943	0.62973	0.6567	0.97563	0.52887	0.83859	-0.22585	-0.024372
Tc2n	5	0.2513	1.4986	0.082357	0.47771	0.13397	0.67473	0.22693	1.3534	0.14118	0.62195	0.17594	0.71073	-0.1452	-0.02437
Piwil1	5	0.26323	1.5286	0.069924	0.44246	0.12636	0.66564	0.23889	1.3875	0.12315	0.59039	0.16529	0.70242	-0.1411	-0.02434
Olfr521	5	0.27334	1.3246	0.059905	0.41013	0.18531	0.72824	0.24901	1.2069	0.10918	0.55765	0.22746	0.72992	-0.1177	-0.02433
Adgrf3	5	0.11987	0.75092	0.37885	0.86197	0.4527	0.83112	0.095547	0.59862	0.4961	0.93262	0.54942	0.84625	-0.1523	-0.024323
Mlh3	5	0.060201	0.50378	0.59947	0.95611	0.61442	0.88417	0.035928	0.3007	0.72421	0.98287	0.76364	0.92487	-0.20308	-0.024273
Pkd2	5	0.13907	1.0399	0.31951	0.8302	0.29839	0.78169	0.11483	0.85892	0.43049	0.91225	0.39038	0.78304	-0.18098	-0.02424
Slc25a54	5	-0.082962	-0.77686	0.8565	0.99152	0.43724	0.82418	-0.1072	-1.0038	0.77106	0.98712	0.31547	0.75519	-0.22694	-0.024238
2010107E04Rik	4	-0.085608	-0.6602	0.81771	0.99117	0.50913	0.85028	-0.10984	-0.84711	0.73906	0.98529	0.39693	0.78472	-0.18691	-0.024232
Scamp5	5	-0.015514	-0.089638	0.90464	0.99712	0.92858	0.98131	-0.039745	-0.22974	0.98459	0.99891	0.81829	0.94421	-0.140102	-0.024231
Wdr86	5	0.12759	0.74343	0.35352	0.84882	0.45722	0.83304	0.10337	0.60236	0.47	0.92606	0.54693	0.8461	-0.14107	-0.02422
Serpina6	5	0.031747	0.27051	0.71609	0.97826	0.78677	0.93961	0.0075297	0.064163	0.8357	0.99168	0.94884	0.98589	-0.206347	-0.0242173
Acap2	5	-0.14953	-1.0682	0.66841	0.97155	0.28545	0.77902	-0.17374	-1.2412	0.6046	0.96568	0.21452	0.72877	-0.173	-0.02421
Psmc2	5	-0.53102	-1.6656	0.16179	0.64335	0.095785	0.60053	-0.55522	-1.7429	0.14262	0.62382	0.081354	0.55281	-0.0773	-0.0242
Tepp	5	0.25006	1.257	0.08395	0.48073	0.20875	0.74027	0.22587	1.1356	0.14288	0.62382	0.25611	0.7431	-0.1214	-0.02419
Ccr7	5	0.18225	0.92413	0.20207	0.70569	0.35542	0.79644	0.15809	0.80171	0.29593	0.82003	0.42272	0.79266	-0.12242	-0.02416
Ddx58	5	0.18217	1.089	0.20212	0.70569	0.27615	0.77297	0.15802	0.94463	0.29614	0.82003	0.34485	0.76352	-0.14437	-0.02415
Defb5	4	0.3556	1.6654	0.029696	0.28445	0.095839	0.60053	0.33146	1.5525	0.058467	0.41051	0.12054	0.65265	-0.1129	-0.02414
Rai14	5	-0.27144	-1.5719	0.43568	0.89269	0.11597	0.64709	-0.29556	-1.7117	0.39421	0.89221	0.086945	0.56789	-0.1398	-0.02412
Tram1	5	0.07238	0.43711	0.54917	0.93792	0.66203	0.90053	0.04829	0.29172	0.67787	0.97887	0.7705	0.92752	-0.14539	-0.02409
Tspan9	5	0.012491	0.11474	0.79531	0.99117	0.90865	0.97448	-0.011595	-0.10653	0.90768	0.99417	0.91516	0.9759	-0.22127	-0.024086
Zc3h8	5	-0.70725	-3.1825	0.071003	0.44566	0.0014599	0.023445	-0.7313	-3.2912	0.063091	0.4255	0.00099778	0.016528	-0.1087	-0.02405
Oplah	5	-0.030556	-0.25268	0.96255	0.99926	0.80051	0.94292	-0.054604	-0.45171	0.93552	0.99612	0.65147	0.88469	-0.19903	-0.024048
Rdh10	5	0.048669	0.33746	0.64488	0.96443	0.73577	0.92329	0.024624	0.17075	0.76783	0.98712	0.86442	0.95942	-0.16671	-0.024045
Olfr131	5	0.18549	1.5617	0.19544	0.6995	0.11836	0.6526	0.16147	1.3596	0.28653	0.81022	0.17397	0.70972	-0.2021	-0.02402
1110008L16Rik	5	-1.4613	-3.6424	0.0016441	0.041131	0.00027011	0.0061134	-1.4853	-3.7047	0.0014899	0.039563	0.00021167	0.0049106	-0.0623	-0.024
Gm884	5	0.16014	0.5975	0.25945	0.77652	0.55017	0.86304	0.13614	0.50805	0.36288	0.87135	0.61142	0.8718	-0.08945	-0.024
Abcf2	5	-0.34475	-1.9354	0.33683	0.84296	0.052937	0.41698	-0.36874	-2.0703	0.30359	0.82644	0.038424	0.33328	-0.1349	-0.02399
Mgl2	5	0.22004	1.0496	0.12685	0.57606	0.29389	0.7808	0.19606	0.93531	0.19682	0.70604	0.34963	0.76518	-0.11429	-0.02398
Serpina9	5	-0.19916	-1.0436	0.56237	0.94256	0.29668	0.78138	-0.22312	-1.1694	0.50807	0.93648	0.24223	0.7386	-0.1258	-0.02396
Rnf38	5	-0.037581	-0.21569	0.98793	0.99969	0.82923	0.95144	-0.061536	-0.35321	0.91168	0.99423	0.72393	0.90947	-0.13752	-0.023955
1700001O22Rik	5	-0.074893	-0.64854	0.88029	0.99329	0.51664	0.85088	-0.098844	-0.85622	0.7949	0.9904	0.39188	0.78384	-0.20768	-0.023951
Chil1	5	0.08019	0.34705	0.51865	0.92736	0.72856	0.92048	0.056282	0.24361	0.64478	0.97219	0.80753	0.94006	-0.10344	-0.023908
Rps25	3	-2.0125	-3.6167	0.0011817	0.031421	0.0002984	0.0065479	-2.0364	-3.6693	0.00082203	0.027211	0.00024321	0.0054348	-0.0526	-0.0239
Grk5	5	-0.092246	-0.55427	0.82907	0.99117	0.5794	0.87219	-0.11614	-0.69799	0.74589	0.98547	0.48518	0.82004	-0.14372	-0.023894
Snapc4	5	-0.82724	-2.5497	0.038995	0.33014	0.01078	0.1199	-0.85113	-2.6243	0.035347	0.31764	0.0086829	0.096684	-0.0746	-0.02389
Wisp3	5	-0.034323	-0.49723	0.97539	0.99926	0.61903	0.88594	-0.058207	-0.84329	0.92288	0.99468	0.39907	0.78548	-0.34606	-0.023884
Gm14137	5	0.01816	0.075587	0.77173	0.98648	0.93975	0.98414	-0.0057238	-0.023838	0.88764	0.99417	0.98098	0.99521	-0.099425	-0.0238838
Vmn2r74	5	0.15908	0.89447	0.26192	0.77903	0.37107	0.80077	0.1352	0.76027	0.36544	0.87276	0.44709	0.80122	-0.1342	-0.02388
Atg5	5	-0.11827	-0.90003	0.75041	0.98305	0.3681	0.80071	-0.14214	-1.0819	0.67812	0.97887	0.27931	0.74728	-0.18187	-0.02387
Vps4b	5	0.0052561	0.049398	0.82244	0.99117	0.9606	0.98888	-0.018613	-0.17495	0.93604	0.99612	0.86112	0.95857	-0.224348	-0.0238691
Olfr305	5	0.00070283	0.0070537	0.84094	0.99117	0.99437	0.99817	-0.023163	-0.23247	0.95443	0.99769	0.81617	0.94366	-0.2395237	-0.02386583
Hif3a	5	0.043423	0.42415	0.66739	0.97123	0.67146	0.90395	0.019577	0.19124	0.78864	0.98911	0.84833	0.95493	-0.23291	-0.023846
Mill2	5	0.29908	1.4115	0.04105	0.34012	0.15809	0.71075	0.27525	1.2992	0.079891	0.48518	0.19389	0.7262	-0.1123	-0.02383
Arhgap30	5	0.15436	0.89926	0.27482	0.78999	0.36851	0.80077	0.13054	0.76051	0.38055	0.88432	0.44695	0.8012	-0.13875	-0.02382
Sdc3	5	-0.040114	-0.18458	0.99651	0.99969	0.85356	0.95838	-0.063934	-0.29425	0.90439	0.99417	0.76857	0.92693	-0.10967	-0.02382
Olfr857	4	-0.054275	-0.28918	0.91708	0.99771	0.77244	0.93495	-0.078095	-0.41617	0.82619	0.99168	0.67728	0.89495	-0.12699	-0.02382
Tm4sf4	5	0.075676	0.69183	0.53637	0.93397	0.48904	0.84389	0.05186	0.47412	0.66322	0.97633	0.63542	0.87951	-0.21771	-0.023816
Cys1	5	0.096063	0.54871	0.4607	0.90505	0.58321	0.87263	0.072248	0.41273	0.58292	0.96153	0.6798	0.8956	-0.13598	-0.023815
Actr2	5	-1.6844	-4.3426	0.00056515	0.020333	1.41E-05	0.00064272	-1.7082	-4.4117	0.00046239	0.016981	1.03E-05	0.00054852	-0.0691	-0.0238
Acot9	5	0.052982	0.44141	0.62772	0.9613	0.65892	0.89925	0.029218	0.24342	0.74995	0.98589	0.80768	0.94006	-0.19799	-0.023764
Nnat	5	-0.057204	-0.46066	0.94744	0.99926	0.64504	0.89633	-0.080934	-0.65182	0.84854	0.99376	0.51452	0.83093	-0.19116	-0.02373
Dtnbp1	5	0.054692	0.25241	0.62063	0.95923	0.80072	0.94292	0.031009	0.14317	0.74291	0.9854	0.88616	0.96531	-0.10924	-0.023683
Rell2	5	0.22623	0.8425	0.11719	0.56109	0.39951	0.81151	0.20262	0.75469	0.18444	0.69479	0.45044	0.80309	-0.08781	-0.02361
Yae1d1	5	-1.225	-3.3252	0.0053946	0.092674	0.00088348	0.015834	-1.2486	-3.3899	0.0051377	0.089767	0.00069911	0.012437	-0.0647	-0.0236
Smgc	5	0.064431	0.50671	0.58138	0.94992	0.61235	0.88334	0.040852	0.32128	0.70448	0.97931	0.748	0.91884	-0.18543	-0.023579
Snx29	5	-0.11048	-0.64979	0.77199	0.98648	0.51583	0.85088	-0.13405	-0.78864	0.69713	0.97931	0.43032	0.79512	-0.13885	-0.02357
Olfr893	5	0.048832	0.31163	0.64437	0.96443	0.75532	0.92966	0.025279	0.16133	0.76572	0.98712	0.87184	0.96157	-0.1503	-0.023553
Cited4	5	0.24217	1.2205	0.093866	0.50778	0.22226	0.75354	0.21862	1.1019	0.15449	0.64514	0.27051	0.74585	-0.1186	-0.02355
Kcna7	5	-0.045504	-0.28635	0.98618	0.99969	0.77461	0.93552	-0.069041	-0.43455	0.88733	0.99417	0.66389	0.89022	-0.1482	-0.023537
Lgi4	5	-0.014184	-0.090059	0.89899	0.99641	0.92824	0.98115	-0.037703	-0.23941	0.99245	0.99974	0.81079	0.94146	-0.149351	-0.023519
Sertm1	5	-0.068275	-0.48489	0.90531	0.99712	0.62776	0.88997	-0.091758	-0.6519	0.81463	0.99168	0.51447	0.83093	-0.16701	-0.023483
Mtap7d3	5	0.37612	1.1969	0.011303	0.15515	0.23133	0.75751	0.35269	1.1224	0.028463	0.27839	0.26169	0.74403	-0.0745	-0.02343
Gm20379	5	0.14501	0.96992	0.3024	0.81432	0.33209	0.78764	0.12159	0.81342	0.40845	0.9029	0.41597	0.7889	-0.1565	-0.02342
Tmem30a	5	0.2049	0.62877	0.15244	0.62503	0.5295	0.85607	0.18148	0.55724	0.23217	0.7532	0.57736	0.85594	-0.07153	-0.02342
Dcaf8	5	0.12818	1.0941	0.35188	0.84754	0.27392	0.77261	0.10476	0.89428	0.46522	0.92484	0.37117	0.77448	-0.19982	-0.02342
Rasip1	5	-0.12293	-0.81869	0.73782	0.98096	0.41296	0.81538	-0.14634	-0.97475	0.66651	0.97667	0.32968	0.75948	-0.15606	-0.02341
A930018M24Rik	5	0.12905	0.90487	0.34977	0.84586	0.36553	0.80037	0.10565	0.74086	0.46244	0.92461	0.45878	0.80753	-0.16401	-0.0234
Olfr1104	5	0.16198	0.92283	0.25339	0.76963	0.3561	0.79721	0.13861	0.7899	0.35419	0.86608	0.42959	0.79493	-0.13293	-0.02337
1700025C18Rik	5	-0.11952	-0.74351	0.74707	0.98259	0.45717	0.83304	-0.14289	-0.88906	0.67648	0.97887	0.37397	0.77448	-0.14555	-0.02337
Ing4	5	0.033336	0.21969	0.70921	0.97805	0.82611	0.95045	0.0099926	0.06589	0.82732	0.99168	0.94747	0.98537	-0.1538	-0.0233434
Slc22a8	5	0.20728	1.1773	0.1475	0.61423	0.23906	0.76033	0.18394	1.0448	0.22534	0.74487	0.2961	0.74994	-0.1325	-0.02334
Chrnb2	5	-0.016519	-0.18005	0.9085	0.99747	0.85711	0.95935	-0.039836	-0.43421	0.98433	0.99891	0.66413	0.89022	-0.25416	-0.023317
Pip	5	-0.10643	-0.59477	0.78545	0.98889	0.55199	0.86377	-0.12971	-0.72495	0.70715	0.97994	0.46848	0.81208	-0.13018	-0.02328
Pex10	5	-0.016359	-0.12252	0.90819	0.99747	0.90249	0.97335	-0.039637	-0.29694	0.985	0.99906	0.76651	0.92592	-0.17442	-0.023278
Sptssa	5	-0.059412	-0.50599	0.93845	0.99926	0.61287	0.88362	-0.082678	-0.70415	0.84202	0.99249	0.48134	0.81828	-0.19816	-0.023266
Sdk2	5	0.06022	0.41781	0.59941	0.95611	0.67608	0.90554	0.036989	0.25671	0.71917	0.98228	0.79741	0.93699	-0.1611	-0.023231
Mme	5	0.013483	0.079808	0.7909	0.98959	0.93639	0.98264	-0.0097473	-0.057736	0.90089	0.99417	0.95396	0.98755	-0.137544	-0.0232303
Elmsan1	5	0.068804	0.35036	0.56407	0.943	0.72607	0.91911	0.045593	0.23224	0.68789	0.97931	0.81635	0.94372	-0.11812	-0.023211
Nckap5	5	-0.1146	-1.1284	0.76048	0.98476	0.25916	0.76554	-0.13778	-1.3568	0.68881	0.97931	0.17484	0.70973	-0.2284	-0.02318
Accs	5	0.01657	0.13005	0.77872	0.98807	0.89653	0.97119	-0.0065739	-0.051596	0.89062	0.99417	0.95885	0.98849	-0.181646	-0.0231439
Zrsr1	5	-0.10071	-0.46005	0.8041	0.99117	0.64548	0.89638	-0.12383	-0.56581	0.72441	0.98287	0.57152	0.85322	-0.10576	-0.02312
Fbxw24	5	0.29922	1.0447	0.04105	0.34012	0.29616	0.78131	0.2761	0.96404	0.078812	0.48043	0.33503	0.7605	-0.08066	-0.02312
Mapkap1	5	-0.85599	-2.942	0.03432	0.30812	0.0032614	0.045085	-0.87909	-3.023	0.030621	0.29173	0.002503	0.035151	-0.081	-0.0231
Gm7257	5	0.26701	1.1361	0.065711	0.43044	0.2559	0.76455	0.24392	1.038	0.11565	0.57307	0.29928	0.75128	-0.0981	-0.02309
Hoxd4	5	0.20843	1.1706	0.14499	0.60885	0.24175	0.76228	0.1854	1.0414	0.22154	0.73874	0.29768	0.75095	-0.1292	-0.02303
AU022751	5	0.2619	1.1354	0.071363	0.44637	0.25622	0.76477	0.23888	1.0357	0.12315	0.59039	0.30036	0.75181	-0.0997	-0.02302
Endov	5	-0.33191	-2.2678	0.35224	0.84786	0.023343	0.22382	-0.35491	-2.4256	0.32049	0.84178	0.015285	0.15609	-0.1578	-0.023
Ssrp1	5	-1.2453	-3.8042	0.0048294	0.085377	0.00014227	0.0036687	-1.2683	-3.8759	0.0047781	0.086031	0.00010623	0.0028959	-0.0717	-0.023
Dpysl2	5	0.14025	0.881	0.31571	0.82521	0.37832	0.80301	0.11728	0.7369	0.42273	0.90757	0.46118	0.8084	-0.1441	-0.02297
Olfr98	4	0.12503	1.0197	0.42062	0.88652	0.30788	0.7836	0.10207	0.8326	0.53268	0.94443	0.40507	0.7867	-0.1871	-0.02296
Scn4b	5	0.31207	1.2433	0.03396	0.30559	0.21376	0.74676	0.28912	1.1519	0.065454	0.43274	0.24937	0.74286	-0.0914	-0.02295
Olfr1208	4	0.2766	1.4696	0.087855	0.49265	0.14166	0.68724	0.25367	1.3478	0.14329	0.62472	0.17771	0.71187	-0.1218	-0.02293
SDR42E2	5	-0.052217	-0.24173	0.96393	0.99926	0.80899	0.94566	-0.075128	-0.3479	0.86827	0.99376	0.72792	0.91065	-0.10617	-0.022911
1810037I17Rik	5	-0.14637	-1.287	0.67633	0.97446	0.19811	0.73188	-0.16928	-1.4887	0.61267	0.96568	0.13658	0.68022	-0.2017	-0.02291
Ppp1r10	5	-1.2515	-3.6363	0.0046753	0.083486	0.00027654	0.0062148	-1.2744	-3.7054	0.0044184	0.080751	0.00021103	0.0049073	-0.0691	-0.0229
Enkur	5	0.23329	1.188	0.10599	0.53626	0.23483	0.75893	0.2104	1.0715	0.1698	0.67161	0.28395	0.74728	-0.1165	-0.02289
Tmco2	5	0.084324	0.79863	0.50241	0.92065	0.4245	0.81921	0.061436	0.58203	0.6249	0.96762	0.56055	0.84967	-0.2166	-0.022888
Ppp1r12b	5	0.055789	0.32235	0.61627	0.95872	0.74719	0.92761	0.032922	0.19031	0.73561	0.98379	0.84906	0.9551	-0.13204	-0.022867
Tox2	5	0.0044597	0.019913	0.82635	0.99117	0.98411	0.99577	-0.0184	-0.082193	0.93521	0.99612	0.93449	0.9814	-0.102106	-0.0228597
9230104L09Rik	5	0.083273	0.56195	0.50658	0.92115	0.57415	0.86925	0.060421	0.40774	0.62896	0.9689	0.68346	0.8969	-0.15421	-0.022852
Olfr1308	5	0.1728	1.0349	0.22483	0.7336	0.30073	0.78248	0.14995	0.89806	0.31987	0.84103	0.36915	0.77294	-0.13684	-0.02285
Ptp4a3	5	-0.055843	-0.50776	0.95191	0.99926	0.61162	0.88331	-0.078691	-0.71553	0.8562	0.99376	0.47428	0.81492	-0.20777	-0.022848
Zfp457	5	0.28135	1.7166	0.05261	0.37958	0.086049	0.56968	0.25851	1.5774	0.097256	0.52815	0.11471	0.64156	-0.1392	-0.02284
Bnipl	5	-0.059265	-0.34686	0.93907	0.99926	0.7287	0.92052	-0.082096	-0.48077	0.84407	0.99329	0.63068	0.87742	-0.13391	-0.022831
Pcbd2	5	0.17693	0.61282	0.2144	0.71998	0.53999	0.85942	0.15412	0.53408	0.30744	0.82934	0.59329	0.86353	-0.07874	-0.02281
Zswim1	5	-0.064193	-0.53654	0.92067	0.99789	0.59159	0.87636	-0.086986	-0.72707	0.82927	0.99168	0.46718	0.81162	-0.19053	-0.022793
Olfr1444	5	-0.0062989	-0.060452	0.86786	0.99329	0.9518	0.98637	-0.029085	-0.27917	0.97678	0.99832	0.78011	0.93057	-0.218718	-0.0227861
Tdo2	5	0.17494	1.1657	0.21928	0.72622	0.24374	0.76233	0.15218	1.0141	0.31381	0.83541	0.31054	0.75445	-0.1516	-0.02276
Ccr1	5	-0.079581	-0.58888	0.86709	0.99324	0.55594	0.86392	-0.10233	-0.75728	0.78596	0.98875	0.44888	0.80157	-0.1684	-0.022749
Tmem222	5	-0.14575	-1.2302	0.67787	0.97447	0.21864	0.7492	-0.16849	-1.4222	0.61406	0.96568	0.15495	0.69811	-0.192	-0.02274
Cox4i2	5	0.13326	1.0339	0.33672	0.84296	0.30118	0.78248	0.11054	0.85771	0.44657	0.91959	0.39105	0.78304	-0.17619	-0.02272
Vstm2a	5	0.18769	0.83551	0.18973	0.68989	0.40343	0.81162	0.16497	0.73455	0.27692	0.80077	0.46261	0.80964	-0.10096	-0.02272
Cpz	5	-0.061024	-0.34697	0.93167	0.99926	0.72862	0.92048	-0.083743	-0.47616	0.83909	0.99175	0.63396	0.87915	-0.12919	-0.022719
Olfr513	5	0.074334	0.45833	0.5412	0.93453	0.64671	0.89667	0.051626	0.31837	0.664	0.97658	0.7502	0.91988	-0.13996	-0.022708
Olfr181	2	0.23313	1.0837	0.32121	0.83116	0.27852	0.77433	0.21043	0.97812	0.39874	0.89573	0.32801	0.75948	-0.10558	-0.0227
Cdca8	5	-1.2555	-3.1503	0.0045725	0.08256	0.001631	0.025643	-1.2782	-3.209	0.0043157	0.079096	0.0013318	0.020705	-0.0587	-0.0227
Olfr922	5	0.071487	0.65412	0.55287	0.93817	0.51303	0.8506	0.0488	0.44654	0.67571	0.97887	0.6552	0.88657	-0.20758	-0.022687
Plcb2	5	-0.057792	-0.39115	0.94518	0.99926	0.69569	0.91095	-0.080478	-0.5448	0.85013	0.99376	0.58589	0.86035	-0.15365	-0.022686
Defb22	5	-0.049596	-0.48267	0.9721	0.99926	0.62933	0.89073	-0.072265	-0.70338	0.87736	0.99377	0.48182	0.81834	-0.22071	-0.022669
Cyth3	5	-0.03697	-0.33832	0.98556	0.99969	0.73512	0.92303	-0.059614	-0.54561	0.91836	0.99429	0.58533	0.86022	-0.20729	-0.022644
Cyp7a1	5	0.030386	0.27072	0.72102	0.97826	0.7866	0.93961	0.0077475	0.069028	0.83518	0.99168	0.94497	0.98452	-0.201692	-0.0226385
Ctps2	5	0.01887	0.26814	0.7688	0.98617	0.78859	0.9402	-0.0037585	-0.053419	0.87921	0.99417	0.9574	0.98828	-0.321559	-0.0226285
Uty	5	0.18669	1.4033	0.19236	0.69519	0.16051	0.71297	0.16407	1.2334	0.27959	0.80375	0.21742	0.72877	-0.1699	-0.02262
Mpp7	5	0.23461	1.4462	0.10368	0.53133	0.14813	0.69688	0.21199	1.3067	0.16631	0.66455	0.19131	0.72433	-0.1395	-0.02262
9830147E19Rik	2	0.16249	0.65897	0.49574	0.91796	0.50991	0.85036	0.13988	0.56737	0.58118	0.96068	0.57047	0.85283	-0.0916	-0.02261
Tpbpa	5	0.23772	1.63	0.099209	0.52077	0.1031	0.62245	0.21512	1.4751	0.16086	0.65827	0.1402	0.68275	-0.1549	-0.0226
Olfr517	5	-0.0066099	-0.049228	0.86919	0.99329	0.96074	0.98888	-0.029169	-0.21726	0.97709	0.99832	0.82801	0.94797	-0.168032	-0.0225591
Bzrap1	5	-0.24023	-1.9421	0.48803	0.91633	0.052122	0.41324	-0.26278	-2.1245	0.44431	0.91814	0.033631	0.2989	-0.1824	-0.02255
Ehd2	5	0.01017	0.09896	0.80492	0.99117	0.92117	0.97906	-0.012379	-0.12049	0.91127	0.99423	0.9041	0.97205	-0.21945	-0.022549
Ocln	5	0.088603	0.85026	0.48788	0.91633	0.39518	0.80873	0.066064	0.63398	0.60722	0.96568	0.52609	0.83632	-0.21628	-0.022539
Reep1	5	0.18884	1.2425	0.18655	0.68302	0.21406	0.74682	0.16631	1.0949	0.27312	0.79724	0.27355	0.74592	-0.1476	-0.02253
Ap3m1	5	0.17342	0.97666	0.22303	0.73045	0.32874	0.78663	0.15089	0.84979	0.317	0.83618	0.39544	0.78436	-0.12687	-0.02253
Ermn	5	-0.11674	-0.85189	0.75468	0.98327	0.39428	0.80823	-0.13926	-1.0164	0.68552	0.97931	0.30944	0.75445	-0.16451	-0.02252
Elovl4	5	-0.086616	-0.48613	0.84453	0.99117	0.62688	0.88975	-0.10913	-0.61253	0.76521	0.98712	0.54018	0.844	-0.1264	-0.022514
Tapbp	5	0.16979	1.0838	0.23156	0.73934	0.27846	0.77428	0.14729	0.94042	0.32789	0.84901	0.347	0.76356	-0.14338	-0.0225
Nutm1	5	0.03342	0.13592	0.70869	0.97782	0.89189	0.97002	0.010922	0.044432	0.82445	0.99168	0.96456	0.99025	-0.091488	-0.022498
Rasd2	5	-0.084728	-0.74543	0.85018	0.99148	0.45601	0.83229	-0.10722	-0.94336	0.77096	0.98712	0.34549	0.76356	-0.19793	-0.022492
